album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
The World Is Yours 2,Rich The Kid,2019-03-22,56,0.94,0.94,0.384,0.0,0.0908,-8.158,0.574,100.022,USA
Happier,Marshmello,2018-08-17,97,0.687,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,USA
Talk,Khalid,2019-02-07,95,0.9,0.9,0.4,0.0,0.0876,-8.443,0.124,136.001,USA
Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,91,0.791,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,USA
Without Me,Halsey,2018-10-04,97,0.752,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,USA
Dying To Live,Kodak Black,2018-12-14,93,0.861,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,USA
Please Me,Cardi B,2019-02-15,93,0.747,0.747,0.57,0.0,0.0832,-6.711,0.081,133.992,USA
MUDBOY,Sheck Wes,2018-10-05,92,0.729,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,USA
Goodbye & Good Riddance,Juice WRLD,2018-12-10,92,0.511,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,USA
My Bad,Khalid,2019-03-07,89,0.645,0.645,0.568,0.266,0.257,-9.127,0.0823,84.999,USA
wish you were gay,Billie Eilish,2019-03-04,92,0.853,0.853,0.351,9.38e-06,0.752,-10.198,0.241,118.028,USA
bury a friend,Billie Eilish,2019-01-30,97,0.905,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,USA
STOKELEY,Ski Mask The Slump God,2018-11-30,87,0.935,0.935,0.552,0.0,0.0952,-9.373,0.335,99.993,USA
Death Race For Love,Juice WRLD,2019-03-08,89,0.623,0.623,0.608,0.0,0.105,-5.937,0.0434,84.98,USA
Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,97,0.741,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,USA
